WG size of kernel 1 = 512, WG size of kernel 2= 4 X 4
Requesting metric 'gpc__cycles_elapsed.avg.per_second'
Requesting metric 'gr__cycles_active.sum.pct_of_peak_sustained_elapsed'
Requesting metric 'tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__inst_executed.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_write.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__write_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.sum'
Requesting metric 'pcie__write_bytes.sum'
Total Device found: 1
Device Name 		 - NVIDIA GeForce RTX 4060 Laptop GPU 
**************************************
Total Global Memory			 - 8024320 KB
Shared memory available per block 	 - 48 KB
Number of registers per thread block 	 - 65536
Warp size in threads 			 - 32
Memory Pitch 				 - 2147483647 bytes
Maximum threads per block 		 - 1024
Maximum Thread Dimension (block) 	 - 1024 1024 64
Maximum Thread Dimension (grid) 	 - 2147483647 65535 65535
Total constant memory 			 - 65536 bytes
CUDA ver 				 - 8.9
Clock rate 				 - 1470000 KHz
Texture Alignment 			 - 512 bytes
Device Overlap 				 - Allowed
Number of Multi processors 		 - 24

Read file from ./test-apps/gpu-rodinia/gaussian/matrix1024.txt 

Context 0x564c83566230, device 0 (NVIDIA GeForce RTX 4060 Laptop GPU) session 1:
 [durata: 90 ms]:

Range Name                              Metric Name                                                                                         Metric Value
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0                                       gpc__cycles_elapsed.avg.per_second                                                                  1.97272e+09
1                                       gpc__cycles_elapsed.avg.per_second                                                                  2.01368e+09
2                                       gpc__cycles_elapsed.avg.per_second                                                                  1.9807e+09
3                                       gpc__cycles_elapsed.avg.per_second                                                                  2.01296e+09
4                                       gpc__cycles_elapsed.avg.per_second                                                                  1.97718e+09
5                                       gpc__cycles_elapsed.avg.per_second                                                                  2.0117e+09
6                                       gpc__cycles_elapsed.avg.per_second                                                                  1.98713e+09
7                                       gpc__cycles_elapsed.avg.per_second                                                                  2.01129e+09
8                                       gpc__cycles_elapsed.avg.per_second                                                                  1.9856e+09
9                                       gpc__cycles_elapsed.avg.per_second                                                                  2.01325e+09
10                                      gpc__cycles_elapsed.avg.per_second                                                                  1.98529e+09
11                                      gpc__cycles_elapsed.avg.per_second                                                                  2.01178e+09
12                                      gpc__cycles_elapsed.avg.per_second                                                                  1.95531e+09
13                                      gpc__cycles_elapsed.avg.per_second                                                                  2.01238e+09
14                                      gpc__cycles_elapsed.avg.per_second                                                                  1.99969e+09
0                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
1                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
2                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
3                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
4                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
5                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
6                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
7                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
8                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
9                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
10                                      gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
11                                      gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
12                                      gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
13                                      gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
14                                      gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
0                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.81619
1                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.4602
2                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.41042
3                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.9282
4                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.44054
5                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.9378
6                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.41546
7                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.6565
8                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.4379
9                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.179
10                                      tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.42284
11                                      tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.6818
12                                      tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.42176
13                                      tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.8209
14                                      tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.41561
0                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 5.00456
1                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 53.8336
2                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.47989
3                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 56.9286
4                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.53049
5                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 56.7197
6                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.49526
7                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 59.3134
8                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.53248
9                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 54.7658
