WG size of kernel 1 = 512, WG size of kernel 2= 4 X 4
Requesting metric 'gpc__cycles_elapsed.avg.per_second'
Requesting metric 'gr__cycles_active.sum.pct_of_peak_sustained_elapsed'
Requesting metric 'tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__inst_executed.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_write.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__write_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.sum'
Requesting metric 'pcie__write_bytes.sum'
Total Device found: 1
Device Name 		 - NVIDIA GeForce RTX 4060 Laptop GPU 
**************************************
Total Global Memory			 - 8024320 KB
Shared memory available per block 	 - 48 KB
Number of registers per thread block 	 - 65536
Warp size in threads 			 - 32
Memory Pitch 				 - 2147483647 bytes
Maximum threads per block 		 - 1024
Maximum Thread Dimension (block) 	 - 1024 1024 64
Maximum Thread Dimension (grid) 	 - 2147483647 65535 65535
Total constant memory 			 - 65536 bytes
CUDA ver 				 - 8.9
Clock rate 				 - 1470000 KHz
Texture Alignment 			 - 512 bytes
Device Overlap 				 - Allowed
Number of Multi processors 		 - 24

Read file from ./test-apps/gpu-rodinia/gaussian/matrix1024.txt 

Context 0x5632add72230, device 0 (NVIDIA GeForce RTX 4060 Laptop GPU) session 1:
 [durata: 42 ms]:

Range Name                              Metric Name                                                                                         Metric Value
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0                                       gpc__cycles_elapsed.avg.per_second                                                                  1.61888e+09
1                                       gpc__cycles_elapsed.avg.per_second                                                                  1.64341e+09
2                                       gpc__cycles_elapsed.avg.per_second                                                                  1.61738e+09
0                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
1                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
2                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
0                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.78386
1                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.1961
2                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.4479
0                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.97761
1                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 53.7568
2                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.5368
0                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 0.495025
1                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 11.7285
2                                       sm__inst_executed.avg.pct_of_peak_sustained_elapsed                                                 0.41431
0                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
1                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
2                                       sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                     0
0                                       dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed                                            0.163901
1                                       dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed                                            0.00202113
2                                       dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed                                            0
