WG size of kernel 1 = 512, WG size of kernel 2= 4 X 4
Requesting metric 'gpc__cycles_elapsed.avg.per_second'
Requesting metric 'gr__cycles_active.sum.pct_of_peak_sustained_elapsed'
Requesting metric 'tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__inst_executed.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_read.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'dramc__sectors_op_write.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__write_bytes.avg.pct_of_peak_sustained_elapsed'
Requesting metric 'pcie__read_bytes.sum'
Requesting metric 'pcie__write_bytes.sum'
Total Device found: 1
Device Name 		 - NVIDIA GeForce RTX 4060 Laptop GPU 
**************************************
Total Global Memory			 - 8024320 KB
Shared memory available per block 	 - 48 KB
Number of registers per thread block 	 - 65536
Warp size in threads 			 - 32
Memory Pitch 				 - 2147483647 bytes
Maximum threads per block 		 - 1024
Maximum Thread Dimension (block) 	 - 1024 1024 64
Maximum Thread Dimension (grid) 	 - 2147483647 65535 65535
Total constant memory 			 - 65536 bytes
CUDA ver 				 - 8.9
Clock rate 				 - 1470000 KHz
Texture Alignment 			 - 512 bytes
Device Overlap 				 - Allowed
Number of Multi processors 		 - 24

Read file from ./test-apps/gpu-rodinia/gaussian/matrix1024.txt 

Context 0x55c711ac0230, device 0 (NVIDIA GeForce RTX 4060 Laptop GPU) session 1:
 [durata: 58 ms]:

Range Name                              Metric Name                                                                                         Metric Value
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0                                       gpc__cycles_elapsed.avg.per_second                                                                  2.01145e+09
1                                       gpc__cycles_elapsed.avg.per_second                                                                  2.02372e+09
2                                       gpc__cycles_elapsed.avg.per_second                                                                  1.96769e+09
3                                       gpc__cycles_elapsed.avg.per_second                                                                  2.02157e+09
4                                       gpc__cycles_elapsed.avg.per_second                                                                  1.98989e+09
5                                       gpc__cycles_elapsed.avg.per_second                                                                  2.02163e+09
6                                       gpc__cycles_elapsed.avg.per_second                                                                  1.98851e+09
0                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
1                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
2                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
3                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
4                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
5                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
6                                       gr__cycles_active.sum.pct_of_peak_sustained_elapsed                                                 100
0                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.78328
1                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.489
2                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.42187
3                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        46.9039
4                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.41981
5                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        47.0286
6                                       tpc__warps_active_realtime.avg.pct_of_peak_sustained_elapsed                                        2.42406
0                                       sm__cycles_active.avg.pct_of_peak_sustained_elapsed                                                 4.95253
