Target_memory,Target_time,Neural_Network,Dataset,Batch_size,Occupied_memory,Memory_epsilon,One_iteration_inference_time,Iterations
10%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-631.5MB,1.807410717010498s,1991
10%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-607.5MB,2.0335452556610107s,1770
10%,3600s,resnet18,CIFAR10,16,214.0MB,-569.5MB,1.7205114364624023s,2092
10%,3600s,LeNet5,MNIST,16,146.0MB,-637.5MB,0.7720544338226318s,4662
20%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-1415.0MB,1.8315341472625732s,1965
20%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-1391.0MB,1.9978649616241455s,1801
20%,3600s,resnet18,CIFAR10,16,214.0MB,-1353.0MB,1.7366833686828613s,2072
20%,3600s,LeNet5,MNIST,16,146.0MB,-1421.0MB,0.7509565353393555s,4793
30%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-2198.5MB,1.7522964477539062s,2054
30%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-2174.5MB,2.1869583129882812s,1646
30%,3600s,resnet18,CIFAR10,16,214.0MB,-2136.5MB,2.17500376701355s,1655
30%,3600s,LeNet5,MNIST,16,146.0MB,-2204.5MB,1.089348316192627s,3304
40%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-2982.0MB,2.32597017288208s,1547
40%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-2958.0MB,2.619718074798584s,1374
40%,3600s,resnet18,CIFAR10,16,214.0MB,-2920.0MB,1.8076355457305908s,1991
40%,3600s,LeNet5,MNIST,16,146.0MB,-2988.0MB,0.9585497379302979s,3755
45%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-3373.75MB,2.0205342769622803s,1781
45%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-3349.75MB,1.9924046993255615s,1806
45%,3600s,resnet18,CIFAR10,16,214.0MB,-3311.75MB,1.808018445968628s,1991
45%,3600s,LeNet5,MNIST,16,146.0MB,-3379.75MB,0.8363645076751709s,4304
50%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-3765.5MB,1.8862380981445312s,1908
50%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-3741.5MB,2.1770663261413574s,1653
50%,3600s,resnet18,CIFAR10,16,214.0MB,-3703.5MB,1.8240165710449219s,1973
50%,3600s,LeNet5,MNIST,16,146.0MB,-3771.5MB,0.8461103439331055s,4254
60%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-4549.0MB,2.130427122116089s,1689
60%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-4525.0MB,2.2919626235961914s,1570
60%,3600s,resnet18,CIFAR10,16,214.0MB,-4487.0MB,1.7321746349334717s,2078
60%,3600s,LeNet5,MNIST,16,146.0MB,-4555.0MB,0.8402314186096191s,4284
70%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-5332.5MB,1.9737436771392822s,1823
70%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-5308.5MB,2.212949752807617s,1626
70%,3600s,resnet18,CIFAR10,16,214.0MB,-5270.5MB,1.9790832996368408s,1819
70%,3600s,LeNet5,MNIST,16,146.0MB,-5338.5MB,0.9351255893707275s,3849
80%,3600s,mnasnet0_5,CIFAR10,16,152.0MB,-6116.0MB,1.833489179611206s,1963
80%,3600s,mobilenet_v2,CIFAR10,16,176.0MB,-6092.0MB,2.149428606033325s,1674
80%,3600s,resnet18,CIFAR10,16,214.0MB,-6054.0MB,1.8135108947753906s,1985
